% X,Y,solid.sxx (N/m^2),solid.sxy (N/m^2),solid.syy (N/m^2)
-0.25,0.3,-0.009480667,-0.038962776,0.073263226
-0.15,0.3,-0.039605151,-0.009659053,0.096391479
-0.05,0.3,-0.055688088,0.006825453,0.113047563
0.05,0.3,-0.038733818,0.008274722,0.084399611
0.15,0.3,-0.045994869,-0.003037116,0.101685859
0.25,0.3,-0.011558493,0.038170806,0.077061463
-0.2,0.2,-0.015179111,-0.045598715,0.110842404
-0.1,0.2,-0.016248811,-0.012857629,0.106406786
0,0.2,-0.018702637,6.50E-04,0.146917609
0.1,0.2,-0.025552214,-0.06028494,0.166972701
0.2,0.2,-0.015036869,0.051174952,0.118363891
-0.17,0.1,-0.029951005,-0.024862301,0.140880659
-0.085,0.1,-0.019455061,-0.005792148,0.120959382
0,0.1,-0.025968802,-0.02255026,0.112783875
0.085,0.1,-0.008770161,0.037205431,0.083565776
0.17,0.1,-0.03901362,0.025293302,0.158469403
-0.15,0,-0.031086486,0.001642338,0.145180499
-0.05,0,-0.011761042,-0.007532966,0.109446401
0.05,0,-0.006316355,-0.001566334,0.101716834
0.15,0,-0.031156678,0.008867496,0.146440606
-0.17,-0.1,-0.032751759,0.028011586,0.143801434
-0.085,-0.1,-0.01168299,0.002982031,0.100473174
0,-0.1,-0.019955545,-0.010492557,0.109819589
0.085,-0.1,-0.023066614,-0.002210471,0.119384395
0.17,-0.1,-0.032114563,-0.017802245,0.13766473
-0.2,-0.2,-0.02555552,0.025004922,0.115480689
-0.1,-0.2,-0.040170845,0.04647554,0.062822185
0,-0.2,-0.03785834,0.006689174,0.134759683
0.1,-0.2,-0.029927739,-0.00265187,0.115873557
0.2,-0.2,-0.023195503,-0.028039102,0.102331587
-0.25,-0.3,-0.018888654,0.025274947,0.065686233
-0.15,-0.3,-0.059843655,0.004305136,0.124375827
-0.05,-0.3,-0.056789544,0.037501469,0.09849573
0.05,-0.3,-0.050230327,-0.00898378,0.125734283
0.15,-0.3,-0.041828028,-0.008701296,0.105975412
0.25,-0.3,-0.018726409,-0.018126815,0.05912938
