% X,Y,solid.eXX (1),solid.eXY (1),solid.eYY (1)
-0.4,-0.4,-0.042628972,0.002671789,0.135610013
-0.3,-0.4,-0.039420982,-0.001689654,0.118258405
-0.2,-0.4,-0.028097092,-0.010148504,0.09234525
-0.1,-0.4,-0.009367856,-0.012302136,0.060496114
0,-0.4,0.002630696,-0.003479354,0.042354702
0.1,-0.4,-0.001747222,0.006972655,0.05103926
0.2,-0.4,-0.017341416,0.01025935,0.079517397
0.3,-0.4,-0.032952127,0.005978725,0.112150347
0.4,-0.4,-0.042395681,0.001233622,0.139631627
-0.4,-0.3,-0.045225195,0.00977441,0.136338816
-0.3,-0.3,-0.050415834,0.001724023,0.130151608
-0.2,-0.3,-0.044014802,-0.019820729,0.106519224
-0.1,-0.3,-0.018371751,-0.028694094,0.058842948
0,-0.3,-0.001330486,-0.006727311,0.030173806
0.1,-0.3,-0.008482763,0.015510071,0.044850152
0.2,-0.3,-0.028730583,0.02187787,0.084856969
0.3,-0.3,-0.045420799,0.008814717,0.123448399
0.4,-0.3,-0.047437219,-0.003191393,0.143720738
-0.4,-0.2,-0.0443332,0.021322883,0.133208081
-0.3,-0.2,-0.059468664,0.015830329,0.146854983
-0.2,-0.2,-0.068875967,-0.021601433,0.138007323
-0.1,-0.2,-0.03929041,-0.051073525,0.057303661
0,-0.2,-0.022022337,-0.005267758,0.012348197
0.1,-0.2,-0.024034967,0.018076669,0.034924267
0.2,-0.2,-0.046462547,0.036669511,0.095048696
0.3,-0.2,-0.065569263,0.003533292,0.148234105
0.4,-0.2,-0.052293589,-0.017480526,0.147790396
-0.4,-0.1,-0.033611472,0.025740507,0.121475707
-0.3,-0.1,-0.04164857,0.034259602,0.150928637
-0.2,-0.1,-0.066629262,-0.007018448,0.184893669
0,-0.1,-0.036111567,-0.055785866,-0.024298842
0.1,-0.1,-0.056929961,-0.006424685,0.016736407
0.2,-0.1,-0.053610734,0.058985787,0.101701537
0.3,-0.1,-0.069002747,-0.024231975,0.183882987
0.4,-0.1,-0.041974839,-0.032326178,0.140748523
-0.4,0,-0.022946475,0.008622984,0.109596815
-0.3,0,-0.006946912,0.012719202,0.136044917
-0.2,0,-0.006397046,0.012192976,0.257664995
0.3,0,0.007586172,-0.017059374,0.170447921
0.4,0,-0.020927837,-0.011058261,0.123283525
-0.4,0.1,-0.030072382,-0.009845642,0.112286168
-0.3,0.1,-0.037884101,-0.012861415,0.148132614
-0.2,0.1,-0.06352136,0.023046429,0.193123618
0,0.1,-0.045625246,0.070481141,-0.030698319
0.1,0.1,-0.062721173,5.20E-04,0.019848612
0.2,0.1,-0.051800911,-0.080035506,0.118210005
0.3,0.1,-0.061754357,0.003826762,0.182558821
0.4,0.1,-0.036522851,0.014418605,0.129706621
-0.4,0.2,-0.038650918,-0.007132522,0.116259201
-0.3,0.2,-0.057571895,0.004336307,0.144199635
-0.2,0.2,-0.073990079,0.042379476,0.150816541
-0.1,0.2,-0.048516606,0.07217546,0.07388724
0,0.2,-0.029001107,0.005458597,0.023200339
0.1,0.2,-0.031867503,-0.034954495,0.051441027
0.2,0.2,-0.053235382,-0.060470345,0.111229278
0.3,0.2,-0.065584432,-0.024489968,0.149368123
0.4,0.2,-0.046249463,0.002678852,0.129613189
-0.4,0.3,-0.036478402,0.002507402,0.11156957
-0.3,0.3,-0.045156156,0.018298916,0.123497526
-0.2,0.3,-0.043137365,0.043243216,0.116985779
-0.1,0.3,-0.019643847,0.047443538,0.079854144
0,0.3,-0.002898564,0.008325135,0.054846402
0.1,0.3,-0.011292663,-0.031749954,0.06933489
0.2,0.3,-0.030212888,-0.045989456,0.100168463
0.3,0.3,-0.042200838,-0.030713812,0.120176782
0.4,0.3,-0.038586531,-0.010475348,0.117369568
-0.4,0.4,-0.030070406,0.004614649,0.103460548
-0.3,0.4,-0.026630019,0.016395953,0.104801949
-0.2,0.4,-0.014639477,0.029262856,0.098588021
-0.1,0.4,0.004362208,0.027541242,0.084445596
0,0.4,0.01609105,0.00542396,0.075319252
0.1,0.4,0.010817161,-0.019575629,0.080053343
0.2,0.4,-0.005384496,-0.0297123,0.09234867
0.3,0.4,-0.020725607,-0.023004368,0.101986409
0.4,0.4,-0.028680499,-0.010292405,0.104716021
